
Fixed structural parameters:
  gamma_k    = 0.112026
  gamma_l    = 0.855904
  rho        = 0.815676
  sigma_eps  = 0.038788
  sigma      = 3.144978
  exit_rate  = 0.074896

Calibration targets (base period):
  med_sga/rev  = 0.1834
  med_capx/rev = 0.0451
  pct_neg      = 10.8529%

Loaded pct_neg by year: 40 years (1980-2019)

Loaded initial guesses from /gpfs/projects/p32386/Demand_Shifting/calibrated_investment_params.csv:
  alpha_a_init = 0.458870
  alpha_k_init = 0.732125
  phi_0_init   = 0.100000

Initializing warm start ...

============================================================
Phase 1: Differential Evolution (global search)
  Targets: adv/rev=0.1834  capx/rev=0.0451  pct_neg@1980=10.85%
============================================================
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 4.285e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 4.098e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 5.344e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 5.163e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.467e-03
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 8.424e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 6.069e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 4.240e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 6.024e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 6.701e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 5.931e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 3.017e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.195e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.197e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 3.092e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 4.107e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 3.825e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 3.200e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.182e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.391e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.172e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.181e-04
BAD EQM! Bounds: m=0.000 k=0.000
aa=0.5655 ak=0.7192 phi0=-0.2216 | adv=0.1059 inv=0.0393 pct=9.65% | ||res||=0.441367
aa=0.8071 ak=0.4889 phi0=-0.1123 | adv=0.1844 inv=0.0274 pct=23.44% | ||res||=0.412049
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.212e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.212e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.212e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.212e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.741e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.741e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.741e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.741e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.273e-03
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.273e-03
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.274e-03
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.274e-03
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.210e-03
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.208e-03
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.210e-03
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.210e-03
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 6.333e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 6.321e-04
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 6.334e-04
Warning: VF EGM did not converge after 100 iterations
